metric,qiz_on,qiz_off
welfare,347029235.8873816,347028583.178903
real_wage_Q,19.654128429735838,19.654458214869607
real_wage_N,11.326994841630164,11.325330462266882
Q_employment_share,0.6470754195962671,0.6471165482334904
QT_active_share,0.06666666666666667,0.06666666666666667
QT_compliance_share_US_exporters,1.0,0.0
QT_upgrade_share_active,0.260280840115283,0.0
Q_US_exports,7.079950172347374e-11,0.0
Q_RW_exports,8784512.007276718,8785145.18695286
N_US_exports,1058302.0851910405,1058291.6927024059
total_US_exports,1058302.0851910405,1058291.6927024059
total_RW_exports,12808731.222945044,12808558.273711026
micro_comp_us_pct,500.0,
micro_comp_rw_pct,500.0,
welfare_gain_from_productivity_channel_pct,nan,
