metric,qiz_on,no_qiz_off
welfare,365250467.3126767,365127344.31363
welfare_pct_on_vs_off,0.03372056378800892,
wage_Q,1.1836750453768987,1.183531455828372
wage_N,0.6371355647455446,0.6372613233221951
QT_active_share,0.02857142857142857,0.02857142857142857
QT_domestic_only_share_among_active,1.0,1.0
QT_US_export_share_among_active,0.0,0.0
QT_RW_export_share_among_active,0.0,0.0
QT_compliance_share_among_active,0.0,0.0
QT_upgrade_share_among_active,0.5,0.5
QO_active_share,0.10000000000000002,0.10000000000000002
QO_domestic_only_share_among_active,0.8571428571428571,0.8571428571428571
QO_US_export_share_among_active,0.0,0.0
QO_RW_export_share_among_active,0.14285714285714282,0.14285714285714282
QO_compliance_share_among_active,0.0,0.0
QO_upgrade_share_among_active,0.0,0.0
NT_active_share,0.11428571428571431,0.11428571428571431
NT_domestic_only_share_among_active,0.9375,0.9375
NT_US_export_share_among_active,0.062499999999999986,0.062499999999999986
NT_RW_export_share_among_active,0.062499999999999986,0.062499999999999986
NT_compliance_share_among_active,0.0,0.0
NT_upgrade_share_among_active,0.49999999999999994,0.49999999999999994
NO_active_share,0.2714285714285714,0.2714285714285714
NO_domestic_only_share_among_active,0.842105263157895,0.842105263157895
NO_US_export_share_among_active,0.026315789473684213,0.026315789473684213
NO_RW_export_share_among_active,0.15789473684210528,0.15789473684210528
NO_compliance_share_among_active,0.0,0.0
NO_upgrade_share_among_active,0.0,0.0
